"d_close","d_close_1","d_close_2","d_close_3","d_close_4","neg_1","pos_1","vpos_1","neg_2","pos_2","vpos_2","neg_3","pos_3","vpos_3","neg_4","pos_4","vpos_4","sell_1","buy_1","sell_2","buy_2","sell_3","buy_3","sell_4","buy_4","count_1","count_2","count_3","count_4","H1","H2","H3","H4","H5","H6","H7","D1","D2","D3","D4","D5","DHOL","cons_neg_1","cons_pos_1","cons_vpos_1","cons_neg_2","cons_pos_2","cons_vpos_2","cons_neg_3","cons_pos_3","cons_vpos_3","cons_neg_4","cons_pos_4","cons_vpos_4","date"
0.897001273442334,0.897087448154531,0.907641421141188,0.91296916632998,0.912986810410519,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.23728813559322,0.306740027510316,0.349381017881706,0.314939434724092,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-09-18 13:30:00
0.917843279651005,0.897001273442334,0.897087448154531,0.907641421141188,0.91296916632998,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.376792698826597,0.195323246217331,0.306740027510316,0.363391655450875,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018-09-18 14:00:00
0.923730009768172,0.917843279651005,0.897001273442334,0.897087448154531,0.907641421141188,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.312907431551499,0.342503438789546,0.195323246217331,0.321668909825034,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2018-09-18 14:30:00
0.930682288923097,0.923730009768172,0.917843279651005,0.897001273442334,0.897087448154531,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.228161668839635,0.275103163686382,0.342503438789546,0.212651413189771,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2018-09-18 15:00:00
0.933749290401109,0.930682288923097,0.923730009768172,0.917843279651005,0.897001273442334,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.344198174706649,0.185694635488308,0.275103163686382,0.356662180349933,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2018-09-18 15:30:00
0.93553952529752,0.933749290401109,0.930682288923097,0.923730009768172,0.917843279651005,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.276401564537158,0.308115543328748,0.185694635488308,0.2907133243607,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2018-09-18 16:00:00
0.930120235458976,0.93553952529752,0.933749290401109,0.930682288923097,0.923730009768172,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.382007822685789,0.236588720770289,0.308115543328748,0.203230148048452,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2018-09-18 16:30:00
0.927061416742954,0.930120235458976,0.93553952529752,0.933749290401109,0.930682288923097,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.395045632333768,0.348005502063274,0.236588720770289,0.323014804845222,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2018-09-18 17:00:00
0.92661878046161,0.927061416742954,0.930120235458976,0.93553952529752,0.933749290401109,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.109517601043025,0.361760660247593,0.348005502063274,0.253028263795424,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2018-09-18 17:30:00
0.930175724813714,0.92661878046161,0.927061416742954,0.930120235458976,0.93553952529752,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.325945241199478,0.0605226960110041,0.361760660247593,0.362045760430686,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2018-09-18 18:00:00
